key,0,1
33,"TEXT_GAIUSE102_01176_TODO_09","空"
34,"TEXT_GAIUSE102_01176_TODO_10","空"
35,"TEXT_GAIUSE102_01176_TODO_11","空"
36,"TEXT_GAIUSE102_01176_TODO_12","空"
37,"TEXT_GAIUSE102_01176_TODO_13","空"
38,"TEXT_GAIUSE102_01176_TODO_14","空"
39,"TEXT_GAIUSE102_01176_TODO_15","空"
40,"TEXT_GAIUSE102_01176_TODO_16","空"
41,"TEXT_GAIUSE102_01176_TODO_17","空"
42,"TEXT_GAIUSE102_01176_TODO_18","空"
43,"TEXT_GAIUSE102_01176_TODO_19","空"
44,"TEXT_GAIUSE102_01176_TODO_20","空"
45,"TEXT_GAIUSE102_01176_TODO_21","空"
46,"TEXT_GAIUSE102_01176_TODO_22","空"
47,"TEXT_GAIUSE102_01176_TODO_23","空"
48,"TEXT_GAIUSE102_01176_MINFILIA_000_000","路易索瓦大師的理念……「拂曉」的中立性……<hex:02100103>可是，我……"
49,"TEXT_GAIUSE102_01176_MINFILIA_000_001","啊，對了，<hex:022903EB0203>。<hex:02100103>我差點忘了告訴你，<hex:02100103>阿爾菲諾他有事要拜託你。"
50,"TEXT_GAIUSE102_01176_MINFILIA_000_002","我想他會暫時在砂之家待一段時間，<hex:02100103>如果你有空就去幫幫他吧。"
51,"TEXT_GAIUSE102_01176_MINFILIA_000_003","至於有關砂之家遷移的事……<hex:02100103>抱歉，請再給我點時間。"
52,"TEXT_GAIUSE102_01176_MINFILIA_000_004","在你回來之前，我一定會做出決定的。<hex:02100103>所以……現在請讓我一個人待一下。"
53,"TEXT_GAIUSE102_01176_ALPHINAUD_000_010","敏菲利亞也是知道的，<hex:02100103>「拂曉」如果繼續留在烏爾達哈，只能是有弊無利。"
54,"TEXT_GAIUSE102_01176_ALPHINAUD_000_011","只不過，她在等人。<hex:02100103>所以才會對遷移的事情感到躊躇。"
55,"TEXT_GAIUSE102_01176_ALPHINAUD_000_012","你知道曾經被譽為「烏爾達哈明星」的芙·拉敏嗎？"
56,"TEXT_GAIUSE102_01176_ALPHINAUD_000_013","她的歌聲和舞蹈吸引了周圍的所有人，<hex:02100103>被眾多人所喜愛。<hex:02100103>……桑克瑞德也是她的支持者。"
57,"TEXT_GAIUSE102_01176_ALPHINAUD_000_014","然而芙·拉敏在第七靈災之後突然失蹤，<hex:02100103>直到現在依然是行蹤不明。"
58,"TEXT_GAIUSE102_01176_ALPHINAUD_000_015","……其實，芙·拉敏是敏菲利亞的養母。"
59,"TEXT_GAIUSE102_01176_ALPHINAUD_000_016","以前我聽敏菲利亞說過。<hex:02100103>從那之後我也開始幫忙尋找，<hex:02100103>終於讓我找到了一些線索。"
60,"TEXT_GAIUSE102_01176_ALPHINAUD_000_017","東薩納蘭聖阿達瑪·蘭達瑪教會的伊琉德神父聯絡我說，<hex:02100103>他找到了有關此事的有力情報。"
61,"TEXT_GAIUSE102_01176_ALPHINAUD_000_018","你能先一步前往那裡，打聽一下情況嗎？<hex:02100103>我隨後就到。"
62,"TEXT_GAIUSE102_01176_ALPHINAUD_000_019","如果能找到要找的人，那麼敏菲利亞也就沒有顧慮了。<hex:02100103>那樣的話，本部遷移的事情也可以更順利地進行了。<hex:02100103>因為為了「拂曉」的未來，必須要進行遷移。"
63,"TEXT_GAIUSE102_01176_ILIUD_000_030","恭候多時了。<hex:02100103>……你是來打聽「烏爾達哈明星」的事情的吧？<hex:02100103>阿爾菲諾已經聯絡過我了。"
64,"TEXT_GAIUSE102_01176_ILIUD_000_031","剛剛有個到教會掃墓的男子告訴我，<hex:02100103>說他有看到一位女性，<hex:02100103>長得神似當年見到的那位烏爾達哈舞者。"
65,"TEXT_GAIUSE102_01176_ILIUD_000_032","那位目擊者現在還在教會的墓地。<hex:02100103>我已經告訴過他你會來。<hex:02100103>詳細情況你就去問他吧。"
66,"TEXT_GAIUSE102_01176_GRAVEMAN_000_040","是你在找芙·拉敏嗎？<hex:02100103>哎呀哎呀，見到我算你幸運啊！<hex:02100103>因為可以再見到那位明星啊！"
67,"TEXT_GAIUSE102_01176_GRAVEMAN_000_041","大概是在7年前吧，我看過芙·拉敏的歌舞表演。<hex:02100103>而她現在一點都沒變！還是那麼美……<hex:02100103>不，應該說，隨著歲月的沉澱，她變得更美了！"
68,"TEXT_GAIUSE102_01176_GRAVEMAN_000_042","啊，芙·拉敏……<hex:02100103>不愧是譽為「烏爾達哈明星」的舞者啊。"
69,"TEXT_GAIUSE102_01176_GRAVEMAN_000_043","映照在太陽海岸的藍天下的雪白肌膚……<hex:02100103>指導舞者們的聲音如銀鈴般悅耳……<hex:02100103>我現在心裡還小鹿亂撞呢！"
70,"TEXT_GAIUSE102_01176_GRAVEMAN_000_044","不管別人怎麼說！我絕對沒有看錯！<hex:02100103>我在太陽海岸看到的就是「烏爾達哈明星」，芙·拉敏！"
71,"TEXT_GAIUSE102_01176_GRAVEMAN_000_045","母親……我有事情要告訴您。<hex:02100103>雖然我長久以來孤身一人，但我終於遇到了我的真命天女。<hex:02100103>那次重逢，一定是命運的安排。"
72,"TEXT_GAIUSE102_01176_ILIUD_000_050","看來你已經打聽到了啊。<hex:02100103>就是這樣，那個男子確認，<hex:02100103>說在太陽海岸見到了芙·拉敏。"
73,"TEXT_GAIUSE102_01176_ILIUD_000_051","想要尋找的那位女性從烏爾達哈消失了5年。<hex:02100103>畢竟也過去了相當長的時間，<hex:02100103>不能保證那真的會是本人……"
74,"TEXT_GAIUSE102_01176_ILIUD_000_052","不過，冒險者的本性不就是挑戰一切，解開未解的謎題嗎。<hex:02100103>我相信你一定可以做到的。"
